playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties,shots_against,saves,save_pct,gsax,gsax_per_60
8469608,2021,Mike Smith,EDM,G,all,28,94798.0,81.39,74.0,1496.0,58.72,60.0,187.56,174.0,835.82,874.0,27.34,34.0,466.43,366.0,330.52,450.0,77.91,810.0,269.0,73.0,25.32,31.66,24.41,23.0,31.0,20.0,344.0,6.0,3.0,835.82,800.0,0.95714388265416,7.390000000000001,0.004677313867381169
8477831,2021,Pheonix Copley,WSH,G,all,2,5795.0,3.49,5.0,88.0,2.87,5.0,11.53,12.0,48.62,41.0,1.6,1.0,26.72,23.0,21.92,21.0,3.43,59.0,5.0,4.0,1.43,0.5,1.55,1.0,1.0,3.0,20.0,0.0,0.0,48.62,36.0,0.7404360345536817,-1.5099999999999998,-0.015634167385677307
8477457,2021,Zach Fucale,WSH,G,all,4,10295.0,7.39,5.0,142.0,5.35,7.0,16.72,16.0,72.4,66.0,2.48,2.0,40.83,30.0,29.24,43.0,7.11,72.0,22.0,8.0,2.34,2.64,2.42,3.0,0.0,2.0,40.0,0.0,0.0,72.4,61.0,0.8425414364640883,2.3899999999999997,0.0139290917921321
8476883,2021,Andrei Vasilevskiy,TBL,G,all,63,225645.0,184.41,156.0,3378.0,133.34,127.0,407.54,405.0,1862.86,1869.0,60.22,76.0,1035.83,776.0,748.91,1030.0,176.74,1834.0,564.0,172.0,57.21,69.08,58.11,50.0,54.0,52.0,808.0,6.0,3.0,1862.86,1713.0,0.9195538043653307,28.409999999999997,0.007554344213255334
8479496,2021,David Rittich,NSH,G,all,17,49376.0,41.55,49.0,818.0,30.95,32.0,96.84,92.0,433.83,432.0,13.6,15.0,246.09,209.0,173.54,205.0,40.18,441.0,127.0,35.0,14.48,15.47,11.6,17.0,20.0,12.0,215.0,2.0,1.0,433.83,383.0,0.882834289929235,-7.450000000000003,-0.009052981205443943
8470594,2021,Marc-Andre Fleury,MIN,G,all,56,197092.0,141.39,159.0,3204.0,115.99,126.0,386.92,334.0,1665.83,1732.0,48.44,47.0,957.2,786.0,685.98,886.0,135.95,1862.0,346.0,135.0,55.36,41.37,44.66,73.0,36.0,50.0,861.0,2.0,1.0,1665.83,1573.0,0.9442740255608316,-17.610000000000014,-0.005360948186633658
8478470,2021,Sam Montembeault,MTL,G,all,38,116569.0,104.71,122.0,1942.0,78.82,77.0,247.09,247.0,1088.29,1125.0,29.35,30.0,608.89,493.0,432.39,530.0,100.49,1057.0,350.0,101.0,32.08,42.37,30.25,39.0,56.0,27.0,434.0,0.0,0.0,1088.29,1003.0,0.9216293451194075,-17.290000000000006,-0.008899450111093004
8475622,2021,Carter Hutton,ARI,G,all,3,6958.0,5.02,15.0,102.0,3.95,2.0,12.52,9.0,56.53,58.0,1.89,1.0,30.59,28.0,23.21,22.0,4.95,60.0,12.0,5.0,1.99,1.39,1.64,8.0,4.0,3.0,25.0,0.0,0.0,56.53,43.0,0.7606580576684946,-9.98,-0.08605921241736132
8475852,2021,Petr Mrazek,TOR,G,all,20,62527.0,46.38,58.0,892.0,35.45,41.0,113.1,104.0,495.92,520.0,19.27,18.0,276.66,198.0,198.24,267.0,44.65,500.0,144.0,42.0,15.43,17.9,13.05,19.0,22.0,17.0,206.0,0.0,0.0,495.92,462.0,0.9316018712695596,-11.619999999999997,-0.01115038303452908
8477968,2021,Alex Nedeljkovic,DET,G,all,59,193848.0,171.07,178.0,3092.0,125.29,114.0,382.73,410.0,1737.59,1797.0,47.89,49.0,956.65,753.0,688.89,875.0,164.37,1660.0,561.0,159.0,50.43,68.9,51.75,61.0,64.0,53.0,712.0,2.0,1.0,1737.59,1619.0,0.9317502978262997,-6.930000000000007,-0.0021449795716231295
8476945,2021,Connor Hellebuyck,WPG,G,all,66,234210.0,209.65,193.0,3793.0,151.71,179.0,484.59,419.0,2117.7,2155.0,67.36,58.0,1168.89,988.0,849.08,1092.0,199.89,2083.0,638.0,212.0,60.46,79.31,69.88,51.0,78.0,64.0,860.0,0.0,0.0,2117.7,1962.0,0.9264768380790481,16.650000000000006,0.004265402843601896
8480420,2021,Collin Delia,CHI,G,all,8,20586.0,17.13,22.0,376.0,14.1,14.0,48.35,46.0,208.66,218.0,5.09,8.0,118.69,98.0,85.84,105.0,16.39,222.0,56.0,13.0,6.71,6.89,3.52,9.0,8.0,5.0,85.0,0.0,0.0,208.66,196.0,0.9393271350522381,-4.870000000000001,-0.014194112503643256
8476412,2021,Jordan Binnington,STL,G,all,37,128697.0,103.8,112.0,2007.0,79.33,97.0,262.4,264.0,1133.03,1135.0,33.1,32.0,631.31,480.0,462.71,595.0,99.77,1163.0,329.0,86.0,36.05,39.75,28.0,43.0,41.0,28.0,429.0,4.0,2.0,1133.03,1023.0,0.9028887143323654,-8.200000000000003,-0.0038229329354996632
8471306,2021,Thomas Greiss,DET,G,all,31,90493.0,78.5,92.0,1512.0,61.11,52.0,188.53,173.0,841.36,842.0,21.77,16.0,481.27,379.0,338.6,458.0,74.64,836.0,274.0,65.0,24.94,33.07,20.5,38.0,36.0,18.0,337.0,2.0,1.0,841.36,750.0,0.8914139013026529,-13.5,-0.00895096858320533
