team,season,total_icetime,total_games,total_shots_against,total_saves,total_gsax,num_goalies,team_save_pct,team_gsax_per_60
CAR,2023,338072.0,102.0,2565.76,2226.0,0.9300000000000086,5.0,0.8675791968071838,0.00016505359805012103
CAR,2024,293563.0,85.0,2229.01,1815.0,5.119999999999998,5.0,0.8142628341730185,0.0010464534018251616
CAR,2025,54272.0,15.0,428.93,356.0,7.359999999999999,3.0,0.829972256545357,0.008136792452830189
CBJ,2021,295760.0,91.0,2775.39,2592.0,-7.870000000000006,4.0,0.9339228000389135,-0.0015965647822558844
CBJ,2022,202013.0,67.0,2021.73,1732.0,-38.6,5.0,0.8566920409748087,-0.01146460871330063
CBJ,2023,252660.0,75.0,2479.96,2188.0,-0.8699999999999886,4.0,0.8822722947144309,-0.00020660175730230078
CBJ,2024,295886.0,84.0,2675.0,2186.0,1.930000000000014,3.0,0.817196261682243,0.00039136694537761444
CBJ,2025,50106.0,14.0,487.03999999999996,414.0,11.559999999999999,2.0,0.8500328515111696,0.013842653574422223
CGY,2021,296338.0,86.0,2349.37,2169.0,7.030000000000001,2.0,0.9232262266054304,0.0014233746600166028
CGY,2022,297279.0,87.0,2311.15,1996.0,-10.129999999999992,3.0,0.8636393137615472,-0.0020445440142088725
CGY,2023,294608.0,85.0,2557.27,2171.0,-8.890000000000015,3.0,0.8489522029351614,-0.0018105414652691064
CGY,2024,297804.0,83.0,2535.92,2136.0,12.840000000000003,2.0,0.8422978642859396,0.0025869363742595805
CGY,2025,60808.0,19.0,522.71,449.0,0.7800000000000029,2.0,0.8589849055881846,0.0007696355742665468
CHI,2021,138870.0,43.0,1230.1,1145.0,-39.24000000000001,3.0,0.9308186326314934,-0.016953985742060924
CHI,2022,295154.0,89.0,2733.8,2459.0,-12.839999999999996,6.0,0.8994805764869412,-0.0026101628302513257
CHI,2023,293820.0,88.0,2735.58,2394.0,-16.63000000000001,2.0,0.8751343407979295,-0.003395956708188689
CHI,2024,262242.0,76.0,2357.51,1910.0,7.699999999999999,3.0,0.8101768391226335,0.0017617315304184681
CHI,2025,57912.0,16.0,566.77,464.0,17.8,2.0,0.8186742417559151,0.018441773725652717
COL,2021,273340.0,80.0,2325.04,2218.0,20.4,3.0,0.9539620823727764,0.004477939562449696
COL,2022,300813.0,85.0,2481.13,2347.0,25.15999999999999,5.0,0.9459399547786693,0.005018400135632434
COL,2023,295993.0,88.0,2571.81,2194.0,17.349999999999998,3.0,0.8530956796964007,0.0035169750635994763
COL,2024,284797.0,83.0,2374.83,1983.0,12.689999999999994,4.0,0.8350071373529895,0.0026734832178709734
COL,2025,58309.0,17.0,465.90000000000003,369.0,5.0,3.0,0.7920154539600772,0.005145003344252174
DAL,2021,395602.0,118.0,3434.29,3168.0,-4.729999999999997,4.0,0.9224614112378395,-0.000717387677514269
DAL,2022,296927.0,86.0,2473.8799999999997,2239.0,14.339999999999993,3.0,0.9050560253528871,0.002897681921819166
