feature,coefficient,abs_importance
rolling_faceoff_10_diff,-0.0157818049605214,0.0157818049605214
away_team_20,-0.014859913122689986,0.014859913122689986
season_shot_margin_diff,0.014746827638645887,0.014746827638645887
away_team_15,-0.014011064545712047,0.014011064545712047
home_b2b,0.013299411760616383,0.013299411760616383
rest_home_b2b,0.013299411760616383,0.013299411760616383
games_last_3d_home,-0.012820581921019661,0.012820581921019661
games_last_6d_away,-0.012018438656178264,0.012018438656178264
away_team_13,-0.011871961500579151,0.011871961500579151
away_team_55,0.011741313286556889,0.011741313286556889
games_last_6d_diff,-0.010805247447660742,0.010805247447660742
away_team_1,-0.009653034893062419,0.009653034893062419
games_last_3d_away,-0.009394906799487195,0.009394906799487195
is_b2b_diff,-0.008902162521098078,0.008902162521098078
rolling_corsi_3_diff,-0.008731336486733026,0.008731336486733026
home_team_26,-0.00871469936049251,0.00871469936049251
shotsAgainst_roll_5_diff,-0.00823946052838685,0.00823946052838685
home_team_29,0.007637480009923595,0.007637480009923595
momentum_shot_margin_diff,-0.007623179108987561,0.007623179108987561
away_team_23,-0.007373063018906725,0.007373063018906725
rest_away_three_plus,0.006900940513389532,0.006900940513389532
rest_home_one_day,-0.0056174720847566835,0.0056174720847566835
rolling_win_pct_3_diff,-0.0055196103749720355,0.0055196103749720355
away_team_5,-0.004859916783607146,0.004859916783607146
rolling_xg_diff_10_diff,-0.004567820202105789,0.004567820202105789
season_xg_for_avg_diff,-0.004441799389800381,0.004441799389800381
home_team_9,-0.002563533943517704,0.002563533943517704
games_last_3d_diff,-0.002056626004151723,0.002056626004151723
rest_diff,-0.001916701168538709,0.001916701168538709
rest_days_diff,-0.001916701168538709,0.001916701168538709
shot_margin_last_game_diff,-0.0010883141454199501,0.0010883141454199501
rolling_faceoff_5_diff,0.001025220657918555,0.001025220657918555
